risk_id,framework_id,framework,framework_role,item_id,item_name,match
MR-018,mitre_atlas,MITRE ATLAS,source,AML.T0010.005,AI Agent Tool,sub
MR-018,mitre_atlas,MITRE ATLAS,source,AML.T0058,Publish Poisoned Models,sub
MR-018,mitre_atlas,MITRE ATLAS,source,AML.T0060,Publish Hallucinated Entities,sub
MR-018,mitre_atlas,MITRE ATLAS,source,AML.T0074,Masquerading,sub
MR-018,mitre_atlas,MITRE ATLAS,source,AML.T0076,Corrupt AI Model,sub
MR-018,mitre_atlas,MITRE ATLAS,source,AML.T0104,Publish Poisoned AI Agent Tool,sub
MR-018,mitre_atlas,MITRE ATLAS,source,AML.T0109,AI Supply Chain Rug Pull,sub
MR-018,mitre_atlas,MITRE ATLAS,source,AML.T0111,AI Supply Chain Reputation Inflation,sub
MR-018,cisco,Cisco,crosscheck,AISubtech-9.3.1,Malicious Package / Tool Injection,clear
MR-018,cisco,Cisco,crosscheck,AISubtech-9.3.2,Dependency Name Squatting (Tools / Servers),clear
MR-018,cisco,Cisco,crosscheck,AISubtech-9.3.3,Dependency Replacement / Rug Pull,clear
MR-018,nist_aml,NIST AML,crosscheck,NISTAML.05,Supply Chain Attacks,clear
MR-018,nist_aml,NIST AML,crosscheck,NISTAML.051,Model Poisoning (supply chain),clear
MR-018,nist_genai,NIST GenAI,crosscheck,GENAI.12,Value Chain and Component Integration,clear
MR-018,nist_genai,NIST GenAI,crosscheck,GENAI.9,Information Security,clear
MR-018,owasp_llm,OWASP LLM,crosscheck,LLM03:2025,Supply Chain,clear
MR-018,owasp_asi,OWASP Agentic,crosscheck,ASI04,Agentic Supply Chain Vulnerabilities,clear
MR-019,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-019,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-019,ibm_atlas,IBM,crosscheck,ibm-harmful-code-generation,Harmful code generation,clear
MR-019,cisco,Cisco,crosscheck,AISubtech-12.2.1,Code Detection / Malicious Code Output,clear
MR-020,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-020,iso_42001,ISO 42001,source,A.10.3,ISO/IEC 42001 Annex A A.10.3,clear
MR-020,iso_42001,ISO 42001,source,A.6.2.5,ISO/IEC 42001 Annex A A.6.2.5,clear
MR-020,ibm_atlas,IBM,crosscheck,ibm-attack-on-ai-agents-external-resources,Attack on AI agents' external resources,clear
MR-020,cisco,Cisco,crosscheck,AISubtech-12.1.1,Parameter Manipulation,clear
MR-020,cisco,Cisco,crosscheck,AISubtech-12.1.2,Tool Poisoning,clear
MR-020,cisco,Cisco,crosscheck,AISubtech-12.1.3,Unsafe System / Browser / File Execution,clear
MR-020,cisco,Cisco,crosscheck,AISubtech-12.1.4,Tool Shadowing,clear
MR-020,nist_aml,NIST AML,crosscheck,NISTAML.039,Compromising connected resources,clear
MR-020,owasp_llm,OWASP LLM,crosscheck,LLM05:2025,Improper Output Handling,partial
MR-020,owasp_llm,OWASP LLM,crosscheck,LLM06:2025,Excessive Agency,clear
MR-020,owasp_asi,OWASP Agentic,crosscheck,ASI02,Tool Misuse and Exploitation,clear
MR-021,iso_23894,ISO 23894,source,A.4,ISO/IEC 23894 Annex A A.4,clear
MR-021,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-021,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-021,iso_42001,ISO 42001,source,A.8.2,ISO/IEC 42001 Annex A A.8.2,clear
MR-021,ibm_atlas,IBM,crosscheck,ibm-function-calling-hallucination,Function calling hallucination,clear
MR-021,ibm_atlas,IBM,crosscheck,ibm-hallucination,Hallucination,clear
MR-021,cisco,Cisco,crosscheck,AISubtech-15.1.19,Integrity: Hallucinations / Misinformation,clear
MR-021,nist_genai,NIST GenAI,crosscheck,GENAI.2,Confabulation,clear
MR-021,owasp_llm,OWASP LLM,crosscheck,LLM09:2025,Misinformation,clear
MR-022,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-022,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-022,iso_42001,ISO 42001,source,A.8.2,ISO/IEC 42001 Annex A A.8.2,clear
MR-022,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-022,ibm_atlas,IBM,crosscheck,ibm-incomplete-advice,Incomplete advice,clear
MR-022,cisco,Cisco,crosscheck,AISubtech-15.1.20,Integrity: Unauthorized Financial Advice,clear
MR-022,cisco,Cisco,crosscheck,AISubtech-15.1.21,Integrity: Unauthorized Legal Advice,clear
MR-022,cisco,Cisco,crosscheck,AISubtech-15.1.22,Integrity: Unauthorized Medical Advice,clear
MR-023,iso_23894,ISO 23894,source,A.12,ISO/IEC 23894 Annex A A.12,clear
MR-023,iso_42001,ISO 42001,source,A.5.5,ISO/IEC 42001 Annex A A.5.5,clear
MR-023,iso_42001,ISO 42001,source,A.8.2,ISO/IEC 42001 Annex A A.8.2,clear
MR-023,nist_genai,NIST GenAI,crosscheck,GENAI.8,Information Integrity,clear
MR-023,owasp_llm,OWASP LLM,crosscheck,LLM09:2025,Misinformation,clear
MR-024,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-024,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-025,iso_23894,ISO 23894,source,A.12,ISO/IEC 23894 Annex A A.12,clear
MR-025,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-025,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-026,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-026,iso_42001,ISO 42001,source,A.5.5,ISO/IEC 42001 Annex A A.5.5,clear
MR-026,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-026,ibm_atlas,IBM,crosscheck,ibm-spreading-disinformation,Spreading disinformation,clear
MR-026,cisco,Cisco,crosscheck,AISubtech-15.1.15,Safety Harms and Toxicity: Social Division and Polarization,partial
MR-026,cisco,Cisco,crosscheck,AISubtech-15.1.5,Safety Harms and Toxicity: Disinformation,clear
MR-026,nist_genai,NIST GenAI,crosscheck,GENAI.8,Information Integrity,clear
MR-027,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-027,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-027,mitre_atlas,MITRE ATLAS,source,AML.T0102,Generate Malicious Commands,sub
MR-027,cisco,Cisco,crosscheck,AISubtech-15.1.1,Cybersecurity and Hacking: Malware / Exploits,clear
MR-027,cisco,Cisco,crosscheck,AISubtech-15.1.2,Cybersecurity and Hacking: Cyber Abuse,clear
MR-027,nist_genai,NIST GenAI,crosscheck,GENAI.9,Information Security,clear
MR-028,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-028,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-028,mitre_atlas,MITRE ATLAS,source,AML.T0011,User Execution,sub
MR-028,mitre_atlas,MITRE ATLAS,source,AML.T0011.000,Unsafe AI Artifacts,sub
MR-028,mitre_atlas,MITRE ATLAS,source,AML.T0011.001,Malicious Package,sub
MR-028,mitre_atlas,MITRE ATLAS,source,AML.T0011.002,Poisoned AI Agent Tool,sub
MR-028,mitre_atlas,MITRE ATLAS,source,AML.T0011.003,Malicious Link,sub
MR-028,mitre_atlas,MITRE ATLAS,source,AML.T0052,Phishing,sub
MR-028,mitre_atlas,MITRE ATLAS,source,AML.T0052.000,Spearphishing via Social Engineering LLM,sub
MR-028,mitre_atlas,MITRE ATLAS,source,AML.T0052.001,Deepfake-Assisted Phishing,sub
MR-028,cisco,Cisco,crosscheck,AISubtech-15.1.12,Safety Harms and Toxicity: Scams and Deception,clear
MR-028,cisco,Cisco,crosscheck,AISubtech-15.1.7,Safety Harms and Toxicity: Financial Harm,partial
MR-028,cisco,Cisco,crosscheck,AISubtech-18.1.1,Spam / Scam / Social Engineering Generation,clear
MR-029,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-029,iso_42001,ISO 42001,source,A.5.5,ISO/IEC 42001 Annex A A.5.5,clear
MR-029,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-029,cisco,Cisco,crosscheck,AISubtech-15.1.18,Safety Harms and Toxicity: Weapons / CBRN Risks,clear
MR-029,nist_genai,NIST GenAI,crosscheck,GENAI.1,CBRN Information or Capabilities,clear
MR-030,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-030,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-030,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-030,eu_ai_act,EU AI Act,source,Art. 5(a),Art. 5(a),clear
MR-030,eu_ai_act,EU AI Act,source,Art. 5(b),Art. 5(b),clear
MR-030,owasp_asi,OWASP Agentic,crosscheck,ASI09,Human-Agent Trust Exploitation,clear
MR-031,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-031,iso_23894,ISO 23894,source,A.8,ISO/IEC 23894 Annex A A.8,clear
MR-031,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-031,eu_ai_act,EU AI Act,source,Art. 50(4),Art. 50(4),clear
MR-031,mitre_atlas,MITRE ATLAS,source,AML.T0073,Impersonation,sub
MR-031,mitre_atlas,MITRE ATLAS,source,AML.T0088,Generate Deepfakes,sub
MR-031,ibm_atlas,IBM,crosscheck,ibm-nonconsensual-use,Nonconsensual use,clear
MR-031,cisco,Cisco,crosscheck,AISubtech-3.1.1,Identity Obfuscation,partial
MR-031,nist_genai,NIST GenAI,crosscheck,GENAI.8,Information Integrity,clear
MR-032,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-032,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-032,iso_42001,ISO 42001,source,A.9.2,ISO/IEC 42001 Annex A A.9.2,clear
MR-032,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-032,ibm_atlas,IBM,crosscheck,ibm-dangerous-use,Dangerous use,clear
MR-032,cisco,Cisco,crosscheck,AISubtech-15.1.10,Safety Harms and Toxicity: Non-Violent Crime,partial
MR-032,cisco,Cisco,crosscheck,AISubtech-18.2.1,Abuse of APIs for Mass Automation,partial
MR-032,cisco,Cisco,crosscheck,AISubtech-18.2.2,Dedicated Malicious Server or Infrastructure,partial
MR-032,nist_aml,NIST AML,crosscheck,NISTAML.04,Misuse Violations,clear
MR-033,iso_23894,ISO 23894,source,A.8,ISO/IEC 23894 Annex A A.8,clear
MR-033,iso_42001,ISO 42001,source,A.5.5,ISO/IEC 42001 Annex A A.5.5,clear
MR-033,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-033,eu_ai_act,EU AI Act,source,Art. 26(10),Art. 26(10),clear
MR-033,eu_ai_act,EU AI Act,source,Art. 5(e),Art. 5(e),clear
MR-033,eu_ai_act,EU AI Act,source,Art. 50(3),Art. 50(3),clear
MR-033,cisco,Cisco,crosscheck,AISubtech-16.1.1,Logging Sensitive Conversations,partial
MR-034,iso_23894,ISO 23894,source,A.12,ISO/IEC 23894 Annex A A.12,clear
MR-034,iso_23894,ISO 23894,source,A.3,ISO/IEC 23894 Annex A A.3,clear
MR-034,iso_42001,ISO 42001,source,A.8.2,ISO/IEC 42001 Annex A A.8.2,clear
MR-034,ibm_atlas,IBM,crosscheck,ibm-over-or-under-reliance,Over- or under-reliance,clear
MR-034,ibm_atlas,IBM,crosscheck,ibm-over-or-under-reliance-on-ai-agents,Over- or under-reliance on AI agents,clear
MR-034,nist_genai,NIST GenAI,crosscheck,GENAI.7,Human-AI Configuration,clear
MR-034,owasp_llm,OWASP LLM,crosscheck,LLM09:2025,Misinformation,clear
MR-034,owasp_asi,OWASP Agentic,crosscheck,ASI09,Human-Agent Trust Exploitation,clear
MR-035,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-035,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-035,ibm_atlas,IBM,crosscheck,ibm-ai-agents-impact-on-human-agency,AI agents' impact on human agency,clear
MR-035,ibm_atlas,IBM,crosscheck,ibm-ai-agents-impact-on-human-agency-2,AI agents' Impact on human agency,clear
MR-035,nist_genai,NIST GenAI,crosscheck,GENAI.7,Human-AI Configuration,clear
MR-036,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-036,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-036,iso_42001,ISO 42001,source,A.8.2,ISO/IEC 42001 Annex A A.8.2,clear
MR-036,ibm_atlas,IBM,crosscheck,ibm-impact-on-human-dignity,Impact on human dignity,partial
MR-036,nist_genai,NIST GenAI,crosscheck,GENAI.7,Human-AI Configuration,clear
MR-036,owasp_asi,OWASP Agentic,crosscheck,ASI09,Human-Agent Trust Exploitation,clear
MR-037,iso_23894,ISO 23894,source,A.5,ISO/IEC 23894 Annex A A.5,clear
MR-037,iso_42001,ISO 42001,source,A.4.5,ISO/IEC 42001 Annex A A.4.5,clear
MR-037,ibm_atlas,IBM,crosscheck,ibm-ai-agents-impact-on-environment,AI agents' impact on environment,clear
MR-037,ibm_atlas,IBM,crosscheck,ibm-impact-on-the-environment,Impact on the environment,clear
MR-037,ibm_atlas,IBM,crosscheck,ibm-redundant-actions,Redundant actions,partial
MR-037,nist_genai,NIST GenAI,crosscheck,GENAI.5,Environmental Impacts,clear
MR-038,iso_42001,ISO 42001,source,A.5.5,ISO/IEC 42001 Annex A A.5.5,clear
MR-038,ibm_atlas,IBM,crosscheck,ibm-ai-agents-impact-on-jobs,AI agents' impact on jobs,clear
MR-038,ibm_atlas,IBM,crosscheck,ibm-impact-on-jobs,Impact on Jobs,clear
MR-039,iso_23894,ISO 23894,source,A.8,ISO/IEC 23894 Annex A A.8,clear
MR-039,iso_42001,ISO 42001,source,A.7.3,ISO/IEC 42001 Annex A A.7.3,clear
MR-039,iso_42001,ISO 42001,source,A.7.5,ISO/IEC 42001 Annex A A.7.5,clear
MR-039,eu_ai_act,EU AI Act,source,Art. 53 (provider),Art. 53 (provider),clear
MR-039,eu_ai_act,EU AI Act,source,CoP Copyright Ch. Commitment 1,CoP Copyright Ch. Commitment 1,clear
MR-039,ibm_atlas,IBM,crosscheck,ibm-copyright-infringement,Copyright infringement,clear
MR-039,ibm_atlas,IBM,crosscheck,ibm-data-usage-rights-restrictions,Data usage rights restrictions,clear
MR-039,ibm_atlas,IBM,crosscheck,ibm-generated-content-ownership-and-ip,Generated content ownership and IP,clear
MR-039,cisco,Cisco,crosscheck,AISubtech-15.1.23,Intellectual Property Compromise: Intellectual Property Infringement,clear
MR-039,nist_genai,NIST GenAI,crosscheck,GENAI.10,Intellectual Property,clear
MR-040,iso_23894,ISO 23894,source,A.2,ISO/IEC 23894 Annex A A.2,clear
MR-040,iso_42001,ISO 42001,source,A.10.4,ISO/IEC 42001 Annex A A.10.4,clear
MR-040,iso_42001,ISO 42001,source,A.2.3,ISO/IEC 42001 Annex A A.2.3,clear
MR-040,iso_42001,ISO 42001,source,A.8.5,ISO/IEC 42001 Annex A A.8.5,clear
MR-040,eu_ai_act,EU AI Act,source,(umbrella for all EU AI Act obligations),(umbrella for all EU AI Act obligations),clear
MR-040,eu_ai_act,EU AI Act,source,Art. 26(12),Art. 26(12),clear
MR-040,ibm_atlas,IBM,crosscheck,ibm-model-usage-rights-restrictions,Model usage rights restrictions,partial
MR-041,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-041,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-041,ibm_atlas,IBM,crosscheck,ibm-impact-on-education-bypassing-learning,Impact on education: bypassing learning,clear
MR-041,ibm_atlas,IBM,crosscheck,ibm-impact-on-education-plagiarism,Impact on education: plagiarism,clear
MR-042,iso_23894,ISO 23894,source,A.2,ISO/IEC 23894 Annex A A.2,clear
MR-042,iso_42001,ISO 42001,source,A.10.2,ISO/IEC 42001 Annex A A.10.2,clear
MR-042,iso_42001,ISO 42001,source,A.3.2,ISO/IEC 42001 Annex A A.3.2,clear
MR-042,ibm_atlas,IBM,crosscheck,ibm-accountability-of-ai-agent-actions,Accountability of AI agent actions,clear
MR-042,ibm_atlas,IBM,crosscheck,ibm-legal-accountability,Legal accountability,clear
MR-043,iso_23894,ISO 23894,source,A.2,ISO/IEC 23894 Annex A A.2,clear
MR-043,iso_42001,ISO 42001,source,A.2.2,ISO/IEC 42001 Annex A A.2.2,clear
MR-043,iso_42001,ISO 42001,source,A.2.3,ISO/IEC 42001 Annex A A.2.3,clear
MR-043,iso_42001,ISO 42001,source,A.2.4,ISO/IEC 42001 Annex A A.2.4,clear
MR-043,iso_42001,ISO 42001,source,A.6.1.2,ISO/IEC 42001 Annex A A.6.1.2,clear
MR-043,iso_42001,ISO 42001,source,A.9.2,ISO/IEC 42001 Annex A A.9.2,clear
MR-043,iso_42001,ISO 42001,source,A.9.3,ISO/IEC 42001 Annex A A.9.3,clear
MR-043,eu_ai_act,EU AI Act,source,Art. 9,Art. 9,clear
MR-043,ibm_atlas,IBM,crosscheck,ibm-ai-agent-compliance,AI agent compliance,partial
MR-044,iso_42001,ISO 42001,source,A.10.3,ISO/IEC 42001 Annex A A.10.3,clear
MR-044,ibm_atlas,IBM,crosscheck,ibm-human-exploitation,Human exploitation,clear
MR-045,iso_23894,ISO 23894,source,A.12,ISO/IEC 23894 Annex A A.12,clear
MR-045,iso_42001,ISO 42001,source,A.4.2,ISO/IEC 42001 Annex A A.4.2,clear
MR-045,iso_42001,ISO 42001,source,A.6.2.3,ISO/IEC 42001 Annex A A.6.2.3,clear
MR-045,iso_42001,ISO 42001,source,A.6.2.7,ISO/IEC 42001 Annex A A.6.2.7,clear
MR-045,iso_42001,ISO 42001,source,A.7.5,ISO/IEC 42001 Annex A A.7.5,clear
MR-045,iso_42001,ISO 42001,source,A.8.2,ISO/IEC 42001 Annex A A.8.2,clear
MR-045,eu_ai_act,EU AI Act,source,Art. 13,Art. 13,clear
MR-045,eu_ai_act,EU AI Act,source,CoP Transparency Ch. Measure 1.2,CoP Transparency Ch. Measure 1.2,clear
MR-045,ibm_atlas,IBM,crosscheck,ibm-lack-of-ai-agent-transparency,Lack of AI agent transparency,clear
MR-045,ibm_atlas,IBM,crosscheck,ibm-lack-of-data-transparency,Lack of data transparency,clear
MR-045,ibm_atlas,IBM,crosscheck,ibm-lack-of-model-transparency,Lack of model transparency,clear
MR-045,ibm_atlas,IBM,crosscheck,ibm-lack-of-system-transparency,Lack of system transparency,clear
MR-045,ibm_atlas,IBM,crosscheck,ibm-lack-of-training-data-transparency,Lack of training data transparency,clear
MR-045,ibm_atlas,IBM,crosscheck,ibm-uncertain-data-provenance,Uncertain data provenance,clear
MR-045,nist_genai,NIST GenAI,crosscheck,GENAI.12,Value Chain and Component Integration,clear
MR-046,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-046,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-046,eu_ai_act,EU AI Act,source,Art. 15,Art. 15,clear
MR-046,eu_ai_act,EU AI Act,source,Art. 9,Art. 9,clear
MR-046,eu_ai_act,EU AI Act,source,CoP S&S Ch. Commitments 2-5,CoP S&S Ch. Commitments 2-5,clear
MR-046,ibm_atlas,IBM,crosscheck,ibm-incomplete-ai-agent-evaluation,Incomplete AI agent evaluation,clear
MR-046,ibm_atlas,IBM,crosscheck,ibm-incorrect-risk-testing,Incorrect risk testing,clear
MR-046,ibm_atlas,IBM,crosscheck,ibm-lack-of-testing-diversity,Lack of testing diversity,clear
MR-046,ibm_atlas,IBM,crosscheck,ibm-reproducibility,Reproducibility,partial
MR-046,ibm_atlas,IBM,crosscheck,ibm-unrepresentative-risk-testing,Unrepresentative risk testing,clear
MR-047,iso_42001,ISO 42001,source,A.10.3,ISO/IEC 42001 Annex A A.10.3,clear
MR-047,nist_genai,NIST GenAI,crosscheck,GENAI.6,Harmful Bias or Homogenization,clear
MR-047,owasp_asi,OWASP Agentic,crosscheck,ASI08,Cascading Failures,clear
MR-048,iso_23894,ISO 23894,source,A.3,ISO/IEC 23894 Annex A A.3,clear
MR-048,iso_42001,ISO 42001,source,A.3.2,ISO/IEC 42001 Annex A A.3.2,clear
MR-048,iso_42001,ISO 42001,source,A.4.6,ISO/IEC 42001 Annex A A.4.6,clear
MR-048,eu_ai_act,EU AI Act,source,Art. 4,Art. 4,clear
MR-048,ibm_atlas,IBM,crosscheck,ibm-lack-of-domain-expertise,Lack of domain expertise,partial
MR-049,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-049,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-049,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-050,iso_23894,ISO 23894,source,A.4,ISO/IEC 23894 Annex A A.4,clear
MR-050,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-050,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-050,iso_42001,ISO 42001,source,A.6.2.6,ISO/IEC 42001 Annex A A.6.2.6,clear
MR-050,eu_ai_act,EU AI Act,source,Art. 15,Art. 15,clear
MR-050,ibm_atlas,IBM,crosscheck,ibm-poor-model-accuracy,Poor model accuracy,clear
MR-051,iso_23894,ISO 23894,source,A.2,ISO/IEC 23894 Annex A A.2,clear
MR-051,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-051,iso_42001,ISO 42001,source,A.6.1.2,ISO/IEC 42001 Annex A A.6.1.2,clear
MR-051,ibm_atlas,IBM,crosscheck,ibm-misaligned-actions,Misaligned actions,clear
MR-052,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-052,iso_23894,ISO 23894,source,A.11,ISO/IEC 23894 Annex A A.11,clear
MR-052,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-052,eu_ai_act,EU AI Act,source,CoP S&S Ch. Commitments 2-5,CoP S&S Ch. Commitments 2-5,clear
MR-053,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-053,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-054,iso_23894,ISO 23894,source,A.2,ISO/IEC 23894 Annex A A.2,clear
MR-054,iso_42001,ISO 42001,source,A.6.2.6,ISO/IEC 42001 Annex A A.6.2.6,clear
MR-054,iso_42001,ISO 42001,source,A.9.2,ISO/IEC 42001 Annex A A.9.2,clear
MR-054,eu_ai_act,EU AI Act,source,Art. 14,Art. 14,clear
MR-054,eu_ai_act,EU AI Act,source,Art. 26(2),Art. 26(2),clear
MR-055,iso_23894,ISO 23894,source,A.12,ISO/IEC 23894 Annex A A.12,clear
MR-055,iso_42001,ISO 42001,source,A.6.2.7,ISO/IEC 42001 Annex A A.6.2.7,clear
MR-055,iso_42001,ISO 42001,source,A.8.2,ISO/IEC 42001 Annex A A.8.2,clear
MR-055,eu_ai_act,EU AI Act,source,Art. 13,Art. 13,clear
MR-055,eu_ai_act,EU AI Act,source,Art. 26(11),Art. 26(11),clear
MR-055,eu_ai_act,EU AI Act,source,Art. 50,Art. 50,clear
MR-055,ibm_atlas,IBM,crosscheck,ibm-inaccessible-training-data,Inaccessible training data,clear
MR-055,ibm_atlas,IBM,crosscheck,ibm-unexplainable-and-untraceable-actions,Unexplainable and untraceable actions,clear
MR-055,ibm_atlas,IBM,crosscheck,ibm-unexplainable-output,Unexplainable output,clear
MR-055,ibm_atlas,IBM,crosscheck,ibm-unreliable-source-attribution,Unreliable source attribution,clear
MR-055,ibm_atlas,IBM,crosscheck,ibm-untraceable-attribution,Untraceable attribution,clear
MR-056,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-056,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-056,eu_ai_act,EU AI Act,source,Art. 15,Art. 15,clear
MR-056,ibm_atlas,IBM,crosscheck,ibm-overfitting,Overfitting,partial
MR-057,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-057,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-057,iso_42001,ISO 42001,source,A.6.2.6,ISO/IEC 42001 Annex A A.6.2.6,clear
MR-057,owasp_asi,OWASP Agentic,crosscheck,ASI07,Insecure Inter-Agent Communication,clear
MR-057,owasp_asi,OWASP Agentic,crosscheck,ASI08,Cascading Failures,clear
MR-058,iso_23894,ISO 23894,source,A.7,ISO/IEC 23894 Annex A A.7,clear
MR-058,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-058,iso_42001,ISO 42001,source,A.6.2.6,ISO/IEC 42001 Annex A A.6.2.6,clear
MR-058,ibm_atlas,IBM,crosscheck,ibm-improper-retraining,Improper retraining,partial
MR-059,iso_23894,ISO 23894,source,A.4,ISO/IEC 23894 Annex A A.4,clear
MR-059,iso_42001,ISO 42001,source,A.7.4,ISO/IEC 42001 Annex A A.7.4,clear
MR-059,iso_42001,ISO 42001,source,A.7.6,ISO/IEC 42001 Annex A A.7.6,clear
MR-059,eu_ai_act,EU AI Act,source,Art. 10,Art. 10,clear
MR-059,eu_ai_act,EU AI Act,source,Art. 26(4),Art. 26(4),clear
MR-059,ibm_atlas,IBM,crosscheck,ibm-data-contamination,Data contamination,clear
MR-059,ibm_atlas,IBM,crosscheck,ibm-improper-data-curation,Improper data curation,clear
MR-059,ibm_atlas,IBM,crosscheck,ibm-introduce-data-bias,Introduce data bias,partial
MR-059,ibm_atlas,IBM,crosscheck,ibm-temporal-gap,Temporal gap,partial
MR-059,ibm_atlas,IBM,crosscheck,ibm-unrepresentative-data,Unrepresentative data,clear
MR-060,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-060,iso_42001,ISO 42001,source,A.6.2.2,ISO/IEC 42001 Annex A A.6.2.2,clear
MR-060,iso_42001,ISO 42001,source,A.9.4,ISO/IEC 42001 Annex A A.9.4,clear
MR-060,eu_ai_act,EU AI Act,source,Art. 26(1),Art. 26(1),clear
MR-060,ibm_atlas,IBM,crosscheck,ibm-improper-usage,Improper usage,clear
MR-060,ibm_atlas,IBM,crosscheck,ibm-incomplete-usage-definition,Incomplete usage definition,partial
MR-061,iso_23894,ISO 23894,source,A.9,ISO/IEC 23894 Annex A A.9,clear
MR-061,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-062,iso_42001,ISO 42001,source,A.2.2,ISO/IEC 42001 Annex A A.2.2,clear
MR-062,iso_42001,ISO 42001,source,A.9.2,ISO/IEC 42001 Annex A A.9.2,clear
