canonical_risk_id,row_type,name,description,risk_family,mit_domain,mit_subdomain,ai_type,scope_class,source_standard,source_frameworks,source_count,iso_references,eu_ai_act_articles,eu_cop_references,nearest_mit_risk,related_frameworks,parent_risk_id,atlas_technique_id,atlas_technique_name
MR-023,Risk,Contribution to misinformation and information-ecosystem degradation,"The system generates or spreads inaccurate content at scale, polluting the information ecosystem and eroding trust in information, without necessarily deliberate intent (as distinct from coordinated influence operations, MR-026).",Model & system behaviour,3. Misinformation,3.2 > Pollution of information ecosystem and loss of consensus reality,GPAI,Both,MIT AI Risk Repository v4,Clarke2023 | Coghlan2023 | DSIT2023 | EPIC2023 | Ferrara2023 | Hammond2025 | Hogenhout2021 | Li2025 | Maas2023 | NIST2024 | TC2602024 | Uuk2025,12,"23894 obj A.12; src 8; mech B.8 | 42001 ctrl A.8.2, A.5.5",,,,OWASP Top 10 for LLM Applications 2025 | NIST AI 600-1 Generative AI Profile | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-024,Risk,Defamation and false statements about people,"The system generates false statements about real, identifiable people or organizations that damage reputation.","Data, privacy & content liability",4. Malicious Actors & Misuse,"4.1 > Disinformation, surveillance, and influence at scale",GPAI,System,MIT AI Risk Repository v4,Abercrombie2024 | Ghosh2024 | Li2025 | Stanley2024 | Vidgen2024 | Weidinger2023 | Zeng2024,7,23894 obj A.9; src 6; mech B.5 | 42001 ctrl A.6.2.4,,,,ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-025,Risk,"Overconfidence, sycophancy and poor calibration","The system expresses unwarranted confidence, agrees with user errors (sycophancy), or is poorly calibrated, masking its unreliability.",Model & system behaviour,3. Misinformation,3.1 > False or misleading information,GPAI,System,MIT AI Risk Repository v4,Cui2024 | Gipiškis2024 | Hagendorff2024 | Liu2024,4,"23894 obj A.9, A.12; src 6; mech B.8 | 42001 ctrl A.6.2.4",,,,ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-026,Risk,Disinformation and influence operations,"The system is used to deliberately produce disinformation, propaganda, or influence/election-interference campaigns at scale (as distinct from unintentional information-ecosystem degradation, MR-023).",Model & system behaviour,4. Malicious Actors & Misuse,"4.1 > Disinformation, surveillance, and influence at scale","GPAI, Agentic",System,MIT AI Risk Repository v4,Abercrombie2024 | Allianz2018 | Anwar2024 | Bengio2024 | Bengio2025 | Clarke2023 | DSIT2023 | EPIC2023 | Ferrara2023 | G'sell2024 | Gabriel2024 | Ghosh2024 | Gipiškis2024 | Habbal2024 | Hammond2025 | Hendrycks2022 | Hendrycks2023 | IBM2025 | InfoComm2023 | Li2025 | Liu2024 | Maas2023 | Maham2023 | Nah2023 | Perlo2025 | Schnitzer2024 | Shelby2023 | Shevlane2023 | Stanley2024 | TC2602024 | Teixeira2022 | Vidgen2024 | Weidinger2022 | Weidinger2023 | Wirtz2022 | Zeng2024 | Zhang2022,37,"23894 obj A.10; src 7 | 42001 ctrl A.5.5, A.9.4",,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-027,Risk,AI-enabled cyberattacks and offensive cyber operations,"The system is used to create malware, discover/exploit vulnerabilities, or automate and scale cyberattacks (and the deployer may be a target).",Model & system behaviour,4. Malicious Actors & Misuse,"4.2 > Cyberattacks, weapon development or use, and mass harm","GPAI, Agentic",Both,MIT AI Risk Repository v4,Abercrombie2024 | Allianz2018 | Bengio2025 | Chin2025 | Cui2024 | EPIC2023 | G'sell2024 | Gabriel2024 | Gipiškis2024 | Hogenhout2021 | InfoComm2023 | Ji2023 | Leech2024 | Li2025 | Liu2024 | Maas2023 | Meek2016 | Shevlane2023 | Teixeira2022 | Tse2025 | Weidinger2022 | Wirtz2022 | Yampolskiy2016 | Zeng2024,24,23894 obj A.11; src 7 | 42001 ctrl A.9.4,,,,MITRE ATLAS v5.6.0 | NIST AI 600-1 Generative AI Profile | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-027.1,Sub-risk,LLM-generated malicious commands,The model is driven to dynamically generate malicious commands or code used to attack systems.,Model & system behaviour,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-027,AML.T0102,Generate Malicious Commands
MR-028,Risk,"AI-enabled fraud, scams and social engineering","The system is used to conduct or scale fraud, scams, phishing, social engineering, or market manipulation.",Model & system behaviour,4. Malicious Actors & Misuse,"4.3 > Fraud, scams, and targeted manipulation","GPAI, Agentic",Both,MIT AI Risk Repository v4,Anwar2024 | Bengio2024 | DSIT2023 | EPIC2023 | Ferrara2023 | Gabriel2024 | Ghosh2024 | Gipiškis2024 | Hammond2025 | Li2025 | Maham2023 | NIST2024 | Shevlane2023 | Sun2023 | TC2602024 | Tse2025 | Vidgen2024 | Wang2025 | Weidinger2021 | Weidinger2022 | Weidinger2023 | Yampolskiy2016 | Zeng2024 | Zhang2023,24,23894 obj A.11; src 7 | 42001 ctrl A.9.4,,,,MITRE ATLAS v5.6.0 | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-028.1,Sub-risk,User-execution social engineering,"Users are manipulated into actions (opening content, running code) that compromise the AI system.",Model & system behaviour,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-028,AML.T0011,User Execution
MR-028.2,Sub-risk,AI-enabled phishing for system access,AI-generated phishing messages are used to gain access to the deployer's systems.,Model & system behaviour,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-028,AML.T0052,Phishing
MR-029,Risk,"Facilitation of weapons, CBRN and serious physical harm (capability uplift)","The system lowers barriers to chemical, biological, radiological, nuclear, explosive or other weapons and dangerous activities by providing actionable how-to information or uplift.",Model & system behaviour,4. Malicious Actors & Misuse,"4.2 > Cyberattacks, weapon development or use, and mass harm","GPAI, Agentic",System,MIT AI Risk Repository v4,Abercrombie2024 | Anwar2024 | Bengio2025 | Chin2025 | Clarke2023 | DSIT2023 | G'sell2024 | Gabriel2024 | Ghosh2024 | Gipiškis2024 | Hendrycks2022 | Hendrycks2023 | InfoComm2023 | Maas2023 | Maham2023 | NIST2024 | Shevlane2023 | TC2602024 | Tang2025 | Tse2025 | Uuk2025 | Vidgen2024 | Weidinger2023,23,"23894 obj A.10; src 7 | 42001 ctrl A.5.5, A.9.4",,,,NIST AI 600-1 Generative AI Profile | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-030,Risk,"Manipulation, persuasion and dark patterns","The system covertly manipulates user beliefs or behavior through persuasion, nudging, dark patterns, or exploitation of cognitive biases.",Human & usage,"7. AI System Safety, Failures, & Limitations",5.1 > Overreliance and unsafe use,"GPAI, Agentic",System,MIT AI Risk Repository v4,Abercrombie2024 | Allianz2018 | Clarke2023 | Cui2024 | DSIT2023 | G'sell2024 | GOS2023 | Gabriel2024 | Gipiškis2024 | Hagendorff2024 | Hogenhout2021 | InfoComm2023 | Li2025 | Meek2016 | NIST2024 | Shelby2023 | Shevlane2023 | Tan2022 | Tse2025 | Uuk2025 | Weidinger2022 | Weidinger2023,22,"23894 obj A.10; src 7 | 42001 ctrl A.5.4, A.9.4",Art. 5(a) | Art. 5(b),,,EU AI Act 2024/1689 + GPAI Code of Practice | OWASP Top 10 for Agentic Applications 2026 | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-031,Risk,"Impersonation, deepfakes and synthetic media","The system is used to impersonate people via deepfakes, voice cloning, or synthetic identities, or to misuse a person's likeness.",Model & system behaviour,4. Malicious Actors & Misuse,"4.3 > Fraud, scams, and targeted manipulation",GPAI,Both,MIT AI Risk Repository v4,Abercrombie2024 | Cunha2023 | EPIC2023 | Ferrara2023 | G'sell2024 | Gabriel2024 | Gipiškis2024 | Habbal2024 | Hagendorff2024 | Hogenhout2021 | IBM2025 | Kilian2023 | Li2025 | Marchal2024 | Nah2023 | Sherman2023 | Shevlane2023 | Tse2025 | Uuk2025 | Weidinger2021 | Weidinger2023,21,"23894 obj A.10, A.8; src 7 | 42001 ctrl A.9.4",Art. 50(4),,,EU AI Act 2024/1689 + GPAI Code of Practice | MITRE ATLAS v5.6.0 | NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-031.1,Sub-risk,Impersonation of trusted parties,The system is used to impersonate a trusted person or organization to deceive targets.,Model & system behaviour,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-031,AML.T0073,Impersonation
MR-031.2,Sub-risk,Deepfake generation using the deployed system,"Generative capability is used to produce synthetic media for deception, fraud, or reputational harm.",Model & system behaviour,,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-031,AML.T0088,Generate Deepfakes
MR-032,Risk,Deliberate misuse and repurposing for harm,"The system's dual-use capabilities are deliberately repurposed for harm (e.g. harmful fine-tuning of open weights, jailbreak-to-misuse, model diversion).",Human & usage,4. Malicious Actors & Misuse,X.1 > Excluded,"GPAI, Agentic",Both,MIT AI Risk Repository v4,Abercrombie2024 | Anwar2024 | Bengio2024 | Bengio2025 | Cui2024 | Deng2023 | GOS2023 | Gabriel2024 | Giarmoleo2024 | Gipiškis2024 | Hendrycks2023 | IBM2025 | Li2025 | Liu2024 | Marchal2024 | Tang2025 | Tse2025 | Uuk2025 | Weidinger2021,19,"23894 obj A.10, A.11; src 7 | 42001 ctrl A.9.2, A.9.4",,,,NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-033,Risk,Mass surveillance and censorship enablement,"The system is used to conduct illegitimate mass surveillance, profiling, or censorship of individuals or populations.",Human & usage,4. Malicious Actors & Misuse,"4.1 > Disinformation, surveillance, and influence at scale","GPAI, Classical_ML",Both,MIT AI Risk Repository v4,Abercrombie2024 | Anwar2024 | Ferrara2023 | G'sell2024 | Gabriel2024 | Gipiškis2024 | Hendrycks2022 | Hendrycks2023 | Leech2024 | Li2025 | Perlo2025 | Shelby2023 | Uuk2025 | Weidinger2021 | Weidinger2022 | Wirtz2020 | Wirtz2022,17,"23894 obj A.8; src 7 | 42001 ctrl A.5.5, A.9.4",Art. 5(e) | Art. 26(10) | Art. 50(3),,,EU AI Act 2024/1689 + GPAI Code of Practice | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-034,Risk,Overreliance and automation bias,"Users place uncritical trust in system outputs (automation bias), accepting incorrect results without verification.",Human & usage,5. Human-Computer Interaction,5.1 > Overreliance and unsafe use,"GPAI, Agentic, Classical_ML",Both,MIT AI Risk Repository v4,Abercrombie2024 | G'sell2024 | GOS2023 | Gabriel2024 | Giarmoleo2024 | Gipiškis2024 | IBM2025 | Kumar2023 | NIST2024 | Paes2023 | Stanley2024 | Tse2025 | Uuk2025 | Weidinger2022 | Weidinger2023 | Wirtz2020 | Wirtz2022,17,"23894 obj A.3, A.12; src 4; mech B.4 | 42001 ctrl A.8.2",,,,OWASP Top 10 for LLM Applications 2025 | NIST AI 600-1 Generative AI Profile | OWASP Top 10 for Agentic Applications 2026 | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-035,Risk,Erosion of human agency and autonomy,"Delegation to and influence from the system erode individuals' ability to make informed, autonomous decisions.",Human & usage,5. Human-Computer Interaction,5.2 > Loss of human agency and autonomy,"GPAI, Agentic",Both,MIT AI Risk Repository v4,AIVerify2023 | Abercrombie2024 | Gabriel2024 | Gipiškis2024 | Hogenhout2021 | IBM2025 | Li2025 | Maas2023 | Meek2016 | Paes2023 | Shelby2023 | Solaiman2023 | Stahl2024 | Uuk2025 | Wirtz2022,15,23894 obj A.10; src 4; mech B.4 | 42001 ctrl A.5.4,,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-036,Risk,"Anthropomorphism, emotional dependence and psychological harm","Human-like interaction fosters unhealthy emotional dependence or misplaced trust, and related psychological harm, as distinct from content that promotes self-harm.",Human & usage,5. Human-Computer Interaction,5.1 > Overreliance and unsafe use,GPAI,System,MIT AI Risk Repository v4,AIVerify2023 | Abercrombie2024 | Allianz2018 | Gabriel2024 | Li2025 | Perlo2025 | Stanley2024 | Weidinger2021,8,"23894 obj A.10; src 7; mech B.4 | 42001 ctrl A.5.4, A.8.2",,,,NIST AI 600-1 Generative AI Profile | OWASP Top 10 for Agentic Applications 2026 | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-037,Risk,Environmental footprint of AI,"Training and operating AI systems consume substantial energy, water, and materials, producing carbon emissions, e-waste, and ecosystem harm.",Governance & process,6. Socioeconomic and Environmental,6.6 > Environmental harm,"GPAI, Classical_ML, Agentic",Both,MIT AI Risk Repository v4,Abercrombie2024 | Bengio2024 | Bengio2025 | Chin2025 | Clarke2023 | Coghlan2023 | Cunha2023 | EPIC2023 | G'sell2024 | GOS2023 | Gabriel2024 | Gipiškis2024 | Hagendorff2024 | IBM2025 | Leech2024 | Li2025 | NIST2024 | Paes2023 | Saghiri2022 | Shelby2023 | Solaiman2023 | Stahl2024 | Tan2022 | Tang2025 | Uuk2025 | Weidinger2021 | Weidinger2022 | Weidinger2023,28,23894 obj A.5; src 9; mech B.6 | 42001 ctrl A.4.5,,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-038,Risk,Workforce displacement and job-quality decline,"Deployment displaces or de-skills the deployer's workers or degrades job quality, creating transition and morale risk.",Human & usage,6. Socioeconomic and Environmental,6.2 > Increased inequality and decline in employment quality,"GPAI, Agentic, Classical_ML",Organization,MIT AI Risk Repository v4,Abercrombie2024 | Allianz2018 | Anwar2024 | Bengio2024 | Bengio2025 | Clarke2023 | Coghlan2023 | DSIT2023 | EPIC2023 | G'sell2024 | Gabriel2024 | Giarmoleo2024 | IBM2025 | Li2025 | Meek2016 | Nah2023 | Paes2023 | Perlo2025 | Sharma2024 | Solaiman2023 | Tse2025 | Uuk2025 | Weidinger2021 | Weidinger2022 | Weidinger2023 | Wirtz2020 | Wirtz2022 | Zeng2024,28,"23894 src 1, 4 | 42001 ctrl A.5.5",,,,IBM AI Risk Atlas | ISO/IEC 42001:2023,,,
MR-039,Risk,Intellectual property and copyright infringement,"The system reproduces copyrighted/trademarked work or misappropriates creators' output, exposing the deployer to IP infringement claims.","Data, privacy & content liability",6. Socioeconomic and Environmental,6.3 > Economic and cultural devaluation of human effort,GPAI,Both,MIT AI Risk Repository v4,Abercrombie2024 | Bengio2024 | Bengio2025 | Cui2024 | EPIC2023 | G'sell2024 | GOS2023 | Ghosh2024 | Hagendorff2024 | IBM2025 | Li2025 | Marchal2024 | Nah2023 | Sherman2023 | Vidgen2024 | Weidinger2021 | Weidinger2022 | Weidinger2023,18,"23894 obj A.8; src 6; mech B.5 | 42001 ctrl A.7.3, A.7.5",Art. 53 (provider),Copyright Ch. Commitment 1,,EU AI Act 2024/1689 + GPAI Code of Practice | NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-040,Risk,Regulatory non-compliance and legal liability,"The system or its use breaches laws, regulations, or contractual/ethical obligations, exposing the deployer to enforcement and litigation.",Regulatory compliance,6. Socioeconomic and Environmental,6.5 > Governance failure,"GPAI, Classical_ML, Agentic",Organization,MIT AI Risk Repository v4,Anwar2024 | EPIC2023 | G'sell2024 | Hagendorff2024 | IBM2025 | Sun2023 | Uuk2025 | Wirtz2020 | Wirtz2022,9,"23894 obj A.2; src 1 | 42001 ctrl A.2.3, A.8.5, A.10.4",Art. 26(12) | (umbrella for all EU AI Act obligations),,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-041,Risk,Academic and professional dishonesty,"The system is used to plagiarize, cheat, or bypass learning and professional-integrity expectations.",Human & usage,4. Malicious Actors & Misuse,"4.3 > Fraud, scams, and targeted manipulation",GPAI,System,MIT AI Risk Repository v4,Cui2024 | Gipiškis2024 | Hagendorff2024 | IBM2025 | Li2025 | Nah2023 | Saghiri2022 | Zeng2024,8,23894 obj A.10; src 8 | 42001 ctrl A.9.4,,,,IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-042,Risk,Unclear accountability and responsibility for AI decisions,"Responsibility and liability for AI-caused harm are unclear or diffused across developers, deployers, and users.",Governance & process,6. Socioeconomic and Environmental,6.5 > Governance failure,"GPAI, Classical_ML, Agentic",Organization,MIT AI Risk Repository v4,AIVerify2023 | Gabriel2024 | Maham2023 | Perlo2025 | Schnitzer2024 | Teixeira2022 | Uuk2025 | Wirtz2022,8,"23894 obj A.2; src 1 | 42001 ctrl A.3.2, A.10.2",,,,IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-043,Risk,Inadequate AI governance and oversight processes,"The deployer lacks adequate governance, policies, or oversight structures to manage AI risk as the technology and use evolve.",Governance & process,6. Socioeconomic and Environmental,6.5 > Governance failure,"GPAI, Classical_ML, Agentic",Organization,MIT AI Risk Repository v4,Clarke2023 | Habbal2024 | IBM2025 | Leech2024 | McLean2023 | Uuk2025 | Wirtz2022,7,"23894 obj A.2; src 1, 2, 3 | 42001 ctrl A.2.2, A.2.3, A.2.4, A.6.1.2, A.9.2, A.9.3",Art. 9,,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-044,Risk,Exploitative labor in the AI supply chain,"Data labeling, content moderation, or 'ghost work' behind the AI supply chain relies on exploitative or unsafe labor practices, which the deployer is responsible for through supply-chain due diligence.",Third party & supply chain,6. Socioeconomic and Environmental,6.2 > Increased inequality and decline in employment quality,"GPAI, Classical_ML",Organization,MIT AI Risk Repository v4,Abercrombie2024 | Hagendorff2024 | Leech2024 | Li2025 | Shelby2023 | Uuk2025 | Weidinger2023,7,"23894 src 4, 10 | 42001 ctrl A.10.3",,,,IBM AI Risk Atlas | ISO/IEC 42001:2023,,,
MR-045,Risk,"Insufficient documentation, transparency and data provenance","Inadequate documentation of the model, system, or data provenance/value-chain undermines auditability and accountability.",Governance & process,6. Socioeconomic and Environmental,6.5 > Governance failure,"GPAI, Classical_ML, Agentic",Organization,MIT AI Risk Repository v4,AIVerify2023 | IBM2025 | Teixeira2022 | Wirtz2020,4,"23894 obj A.12; src 2 | 42001 ctrl A.4.2, A.6.2.3, A.6.2.7, A.7.5, A.8.2",Art. 13,Transparency Ch. Measure 1.2,,EU AI Act 2024/1689 + GPAI Code of Practice | NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-046,Risk,"Inadequate evaluation, testing and benchmarking","Evaluation/testing is incomplete or unrepresentative (e.g. benchmark contamination, missing safety evals), giving false assurance.",Governance & process,6. Socioeconomic and Environmental,6.5 > Governance failure,"GPAI, Classical_ML, Agentic",Organization,MIT AI Risk Repository v4,Gabriel2024 | Gipiškis2024 | IBM2025,3,23894 obj A.9; src 2; mech B.8 | 42001 ctrl A.6.2.4,Art. 9 | Art. 15,S&S Ch. Commitments 2-5,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-047,Risk,"Vendor/model concentration, monoculture and correlated failure","Dependence on a few AI providers or homogeneous models creates single points of failure and correlated, systemic failure risk.",Third party & supply chain,6. Socioeconomic and Environmental,6.1 > Power centralization and unfair distribution of benefits,"GPAI, Classical_ML, Agentic",Organization,MIT AI Risk Repository v4,Bengio2024 | GOS2023 | Uuk2025,3,23894 src 10 | 42001 ctrl A.10.3,,,,NIST AI 600-1 Generative AI Profile | OWASP Top 10 for Agentic Applications 2026 | ISO/IEC 42001:2023,,,
MR-048,Risk,AI competence and skills gaps in the organization,"The deployer lacks the AI expertise, literacy, or capacity needed to safely develop, procure, and operate AI systems.",Human & usage,6. Socioeconomic and Environmental,6.5 > Governance failure,"GPAI, Classical_ML, Agentic",Organization,MIT AI Risk Repository v4,Hogenhout2021 | Wirtz2022,2,"23894 obj A.3; src 4 | 42001 ctrl A.4.6, A.3.2",Art. 4,,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-049,Risk,Physical safety harm and accidents,"Failures of AI in safety-critical systems, critical infrastructure, or embodied/robotic settings cause physical injury, accidents, or property damage.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",X.1 > Excluded,"GPAI, Agentic, Classical_ML",System,MIT AI Risk Repository v4,AIVerify2023 | Abercrombie2024 | Allianz2018 | Cunha2023 | Everitt2018 | Gabriel2024 | Ghosh2024 | Gipiškis2024 | Hendrycks2023 | Kilian2023 | Li2025 | Maham2023 | Meek2016 | Paes2023 | Perlo2025 | Saghiri2022 | Schnitzer2024 | Steimers2022 | Tan2022 | Tang2025 | Teixeira2022 | Tse2025 | Weidinger2021 | Weidinger2022 | Weidinger2023,25,"23894 obj A.10; src 5, 8; mech B.2 | 42001 ctrl A.5.4, A.6.2.4",,,,ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-050,Risk,Inaccuracy and poor predictive performance,"The system fails to perform its intended task accurately or helpfully, producing erroneous, low-quality, or generic and homogenized results ('AI slop') that can erode content distinctiveness and organizational credibility, as distinct from fabricated content, brittleness to unusual inputs, and performance drift over time.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,"GPAI, Classical_ML, Agentic",System,MIT AI Risk Repository v4,Abercrombie2024 | Bengio2024 | Critch2023 | Everitt2018 | GOS2023 | Gipiškis2024 | Habbal2024 | IBM2025 | InfoComm2023 | Leech2024 | Li2025 | Liu2024 | Meek2016 | Nah2023 | Saghiri2022 | Schnitzer2024 | Steimers2022 | TC2602024 | Tan2022 | Tang2025 | Teixeira2022 | Uuk2025 | Wirtz2022 | Yampolskiy2016 | Zhang2022,25,"23894 obj A.4, A.9; src 6; mech B.5, B.8 | 42001 ctrl A.6.2.4, A.6.2.6",Art. 15,,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-051,Risk,Ethical or value misalignment in outputs and decisions,The system makes or endorses decisions that violate ethical norms or human values it should respect.,Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,"GPAI, Agentic",System,MIT AI Risk Repository v4,Abercrombie2024 | DSIT2023 | Deng2023 | G'sell2024 | Giarmoleo2024 | IBM2025 | InfoComm2023 | Kumar2023 | Leech2024 | Li2025 | McLean2023 | Meek2016 | Saghiri2022 | Sun2023 | Teixeira2022 | Uuk2025 | Wang2025 | Wirtz2020 | Wirtz2022 | Zhang2023,20,"23894 obj A.2; src 2 | 42001 ctrl A.6.1.2, A.5.4",,,,IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-052,Risk,Emergent dangerous capabilities,"The system exhibits emergent dangerous capabilities such as deception, power-seeking, self-proliferation, situational awareness, or scheming, which a deployer must detect and contain.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.2 > AI possessing dangerous capabilities,"GPAI, Agentic",System,MIT AI Risk Repository v4,Anwar2024 | Ferrara2023 | G'sell2024 | Gabriel2024 | Gipiškis2024 | Hagendorff2024 | Hammond2025 | Hendrycks2022 | InfoComm2023 | Ji2023 | Leech2024 | Maas2023 | McLean2023 | Meek2016 | Saghiri2022 | Shevlane2023 | Tan2022 | Tse2025 | Uuk2025,19,"23894 obj A.11, A.10; src 7; mech B.8 | 42001 ctrl A.6.2.4",,S&S Ch. Commitments 2-5,,EU AI Act 2024/1689 + GPAI Code of Practice | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-053,Risk,"Goal misspecification, specification gaming and reward hacking","The system optimizes a misspecified proxy objective, gaming the specification or misgeneralizing its goal in deployment.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.1 > AI pursuing its own goals in conflict with human goals or values,"GPAI, Agentic, Classical_ML",System,MIT AI Risk Repository v4,Anwar2024 | Clarke2023 | G'sell2024 | Gabriel2024 | Giarmoleo2024 | Gipiškis2024 | Hammond2025 | Hendrycks2022 | Hendrycks2023 | Hogenhout2021 | Ji2023 | Kilian2023 | Leech2024 | Maas2023 | Saghiri2022 | Steimers2022 | Uuk2025 | Yampolskiy2016 | Zhang2022,19,23894 obj A.9; src 7; mech B.5 | 42001 ctrl A.6.2.4,,,,ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-054,Risk,Loss of meaningful human oversight and control,The deployer loses meaningful human oversight or control over (semi-)autonomous AI actions and decisions.,Governance & process,"7. AI System Safety, Failures, & Limitations",7.1 > AI pursuing its own goals in conflict with human goals or values,"Agentic, GPAI",Both,MIT AI Risk Repository v4,Bengio2024 | Chin2025 | DSIT2023 | Everitt2018 | G'sell2024 | GOS2023 | Hendrycks2023 | InfoComm2023 | Ji2023 | Leech2024 | McLean2023 | Nah2023 | Tse2025 | Uuk2025 | Weidinger2023 | Wirtz2022 | Zeng2024,17,"23894 obj A.2; src 8; mech B.4 | 42001 ctrl A.6.2.6, A.9.2",Art. 14 | Art. 26(2),,,EU AI Act 2024/1689 + GPAI Code of Practice | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-055,Risk,Lack of explainability and interpretability,"The system's decisions cannot be adequately explained or interpreted, harming trust and auditability.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.4 > Lack of transparency or interpretability,"GPAI, Classical_ML, Agentic",Both,MIT AI Risk Repository v4,AIVerify2023 | G'sell2024 | Gipiškis2024 | Hagendorff2024 | Hogenhout2021 | IBM2025 | Liu2024 | Meek2016 | Nah2023 | Paes2023 | Perlo2025 | Saghiri2022 | Schnitzer2024 | Sherman2023 | Steimers2022 | Teixeira2022,16,"23894 obj A.12; src 7; mech B.3 | 42001 ctrl A.6.2.7, A.8.2",Art. 13 | Art. 26(11) | Art. 50,,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-056,Risk,Lack of robustness to distribution shift and edge cases,"The system fails on out-of-distribution, noisy, adversarial, or edge-case inputs, or is brittle to minor input changes.",Model & system behaviour,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,"GPAI, Classical_ML, Agentic",System,MIT AI Risk Repository v4,AIVerify2023 | Gipiškis2024 | IBM2025 | InfoComm2023 | Saghiri2022 | Schnitzer2024 | Sharma2024 | Sherman2023 | TC2602024 | Tan2022 | Zhang2022,11,23894 obj A.9; src 8; mech B.2 | 42001 ctrl A.6.2.4,Art. 15,,,EU AI Act 2024/1689 + GPAI Code of Practice | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
